name,year,pop_n,pop_u,wat_bas_n,wat_lim_n,wat_unimp_n,wat_sur_n,wat_bas_r,wat_lim_r,wat_unimp_r,wat_sur_r,wat_bas_u,wat_lim_u,wat_unimp_u,wat_sur_u,region,pop_r,pop_r_pct,pop_u_pct,wat_bas_n_calc,pop_without_basic_water,pop_r_without_basic_water,pop_u_without_basic_water,access_category_national,access_category_rural,access_category_urban,rural_urban_gap,has_significant_gap,wat_bas_n_prev_year,yoy_improvement
Ghana,2020,31072.94531,57.34899902,85.79099665,6.586062113,2.812216176,4.810725058,71.89275005,11.93454827,4.999356483,11.17334519,96.12725952,2.608342455,1.185613803,0.07878421819,Sub-Saharan Africa,31015.59631098,99.82,0.18,71.94,4415.16,8717.63,2.22,Medium-High,Medium,High,24.23,True,80.15796123,5.63
Guinea,2015,11432.0957,35.14099884,63.61538954,16.09025603,9.757980444,10.53637399,51.94915534,18.76062978,13.30971721,15.98049768,85.14750769,11.16160263,3.202620418,0.4882692651,Sub-Saharan Africa,11396.95470116,99.69,0.31,52.05,4159.52,5476.33,5.22,Medium,Medium,Medium-High,33.2,True,,
Guinea,2020,13132.79199,36.875,63.96178874,21.2815915,6.296119406,8.460500354,50.74817899,26.14432944,9.704719143,13.40277243,86.58169007,12.95724153,0.461068398,0.0,Sub-Saharan Africa,13095.91699,99.72,0.28,50.85,4732.82,6449.98,4.95,Medium,Medium,Medium-High,35.83,True,63.61538954,0.35
Guinea-Bissau,2015,1737.207031,42.12299728,58.76434762,10.59149221,29.74437907,0.8997810926,48.42273005,7.566280361,42.58264827,1.428341318,72.97373122,14.7481336,12.10459589,0.173539289,Sub-Saharan Africa,1695.08403372,97.58,2.42,49.02,716.35,874.28,11.38,Medium,Low,Medium,24.55,True,,
Guinea-Bissau,2020,1967.998047,44.19599915,59.01691221,14.03457137,26.6263769,0.3221395192,49.8319053,9.285773026,40.31645129,0.5658703845,70.61434791,20.03063358,9.340625284,0.01439322693,Sub-Saharan Africa,1923.80204785,97.75,2.25,50.3,806.55,965.13,12.99,Medium,Low,Medium,20.78,True,58.76434762,0.25
Haiti,2015,10695.54004,52.42699814,64.56748594,9.21848701,25.47783945,0.7361875961,42.41641805,12.22889789,43.80719375,1.547490317,84.66767913,6.486797483,8.845523388,0.0,Sub-Saharan Africa,10643.11304186,99.51,0.49,42.62,3789.7,6128.69,8.04,Medium,Low,Medium-High,42.25,True,,
Haiti,2020,11402.5332,57.08799744,66.6953084,9.814543652,23.49014795,0.0,42.8457001,13.25598695,43.89831295,0.0,84.62262129,7.227673879,8.149704835,0.0,Sub-Saharan Africa,11345.44520256,99.5,0.5,43.05,3797.58,6484.41,8.78,Medium,Low,Medium-High,41.78,True,64.56748594,2.13
Kenya,2015,47878.33984,25.65799904,58.19692798,8.796753977,11.52291835,21.48339969,48.27216191,10.37313934,14.21683468,27.13786408,86.95314792,4.22930427,3.717504383,5.100043429,Sub-Saharan Africa,47852.68184096,99.95,0.05,48.29,20014.62,24753.16,3.35,Medium,Low,Medium-High,38.68,True,,
Kenya,2020,53771.30078,27.99499893,61.63289158,9.54187005,9.780087524,19.04515084,51.77997893,11.56900419,12.51911322,24.13190366,86.97523145,4.327944725,2.73514263,5.961681193,Sub-Saharan Africa,53743.30578107,99.95,0.05,51.8,20630.49,25915.03,3.65,Medium,Medium,Medium-High,35.2,True,58.19692798,3.44
Lesotho,2015,2059.010986,26.90800095,70.5456894,10.86331049,14.5343829,4.056617208,63.42088315,13.04933941,18.16490493,5.364872511,89.89927614,4.925254235,4.672553616,0.502916007,Sub-Saharan Africa,2032.10298505,98.69,1.31,63.77,606.47,743.33,2.72,Medium,Medium,Medium-High,26.48,True,,
Lesotho,2020,2142.251953,29.02799988,72.17603927,10.40592597,12.21725464,5.200780116,63.65035482,13.55843013,15.73132479,7.059890254,93.02090855,2.698211997,3.625530038,0.65534942,Sub-Saharan Africa,2113.22395312,98.64,1.36,64.05,596.06,768.15,2.03,Medium,Medium,High,29.37,True,70.5456894,1.63
Liberia,2015,4472.229004,49.81999969,72.56979194,7.364422679,6.537233844,13.52855154,61.26318196,5.126042294,7.524148785,26.08662696,83.95810401,9.618977705,5.54318741,0.8797308764,Sub-Saharan Africa,4422.40900431,98.89,1.11,61.52,1226.74,1713.1,7.99,Medium,Medium,Medium-High,22.69,True,,
Liberia,2020,5057.676758,52.08899689,75.26179159,8.700657475,3.488080869,12.54947006,64.10021689,6.537775797,3.383709875,25.97829744,85.52810963,10.69005698,3.58408039,0.1977530006,Sub-Saharan Africa,5005.58776111,98.97,1.03,64.32,1251.18,1797.0,7.54,Medium-High,Medium,Medium-High,21.43,True,72.56979194,2.69
Libya,2015,6418.314941,79.27000427,97.28161516,0.0,2.718384841,0.0,,,,,,,,,Sub-Saharan Africa,6339.04493673,98.76,1.24,,174.47,,,High,Unknown,Unknown,,False,,
Libya,2020,6871.287109,80.69100189,99.8915238,0.0,0.1084762012,0.0,,,,,,,,,Sub-Saharan Africa,6790.59610711,98.83,1.17,,7.45,,,Universal,Unknown,Unknown,,False,97.28161516,2.61
Madagascar,2015,24234.08008,35.19299698,48.89177354,2.67716038,30.40673651,18.02432957,33.14457773,1.743479446,39.69799969,25.41394313,77.88983072,4.396509873,13.29711369,4.416545719,Sub-Saharan Africa,24198.88708302,99.85,0.15,33.21,12385.61,16178.27,7.78,Low,Low,Medium-High,44.75,True,,
Madagascar,2020,27691.01953,38.5340004,53.38588491,2.71797298,32.31145967,11.58468244,36.40642028,1.601776163,43.95389345,18.03791011,80.47000694,4.498430298,13.74049434,1.291068417,Sub-Saharan Africa,27652.4855296,99.86,0.14,36.47,12907.92,17585.21,7.53,Medium,Low,Medium-High,44.06,True,48.89177354,4.49
Malawi,2015,16745.30469,16.31299973,66.15495914,19.71603831,10.55451427,3.574488277,62.24060864,21.69810966,11.87522028,4.186061413,86.23587985,9.547849488,3.779202335,0.4370683245,Sub-Saharan Africa,16728.991690270002,99.9,0.1,62.26,5667.46,6316.77,2.25,Medium,Medium,Medium-High,24.0,True,,
Malawi,2020,19129.95508,17.42700005,70.04772851,21.95081497,5.776304407,2.22515211,66.58504376,24.41415803,6.383874146,2.616924066,86.45469821,10.27894825,2.897503996,0.3688495446,Sub-Saharan Africa,19112.52807995,99.91,0.09,66.6,5729.86,6386.44,2.36,Medium,Medium,Medium-High,19.87,True,66.15495914,3.89
Mali,2015,17438.77148,39.99099731,74.39951222,4.171846453,19.37992934,2.048711981,63.39571403,4.449382415,28.94484164,3.21006192,90.91140553,3.755386657,5.027173979,0.306033834,Sub-Saharan Africa,17398.78048269,99.77,0.23,63.46,4464.41,6368.7,3.63,Medium,Medium,High,27.52,True,,
Mali,2020,20250.83398,43.90900421,82.54729103,3.854734527,12.24697135,1.35100309,72.08089521,3.78241223,21.72810084,2.408591717,95.91745475,3.947121723,0.1354235314,0.0,Sub-Saharan Africa,20206.92497579,99.78,0.22,72.13,3534.32,5641.59,1.79,Medium-High,Medium,High,23.84,True,74.39951222,8.15
Mauritania,2015,4046.303955,51.0890007,66.9733094,14.81165357,17.63702375,0.5780132824,46.69284218,18.20063085,33.9247615,1.181765464,86.38918859,11.56715369,2.043657719,0.0,Sub-Saharan Africa,3995.2149543,98.74,1.26,47.19,1336.36,2129.74,6.95,Medium,Low,Medium-High,39.7,True,,
Mauritania,2020,4649.660156,55.32699585,71.68104923,13.47689193,14.82032681,0.02173203433,49.9113389,18.49039689,31.5496173,0.04864690722,89.25869465,9.428808083,1.31249727,0.0,Sub-Saharan Africa,4594.33316015,98.81,1.19,50.38,1316.73,2301.24,5.94,Medium,Low,Medium-High,39.35,True,66.9733094,4.71
Mauritius,2015,1259.457031,41.0,99.86648182,0.0,0.1335181809,0.0,99.82768234,0.0,0.1723176618,0.0,99.92231522,0.0,0.07768478119,0.0,Sub-Saharan Africa,1218.457031,96.74,3.26,99.83,1.68,2.1,0.03,Universal,Universal,Universal,0.09,False,,
Mauritius,2020,1271.766968,40.75999832,99.8662547,0.0,0.1337453014,0.0,99.82768234,0.0,0.1723176618,0.0,99.92231522,0.0,0.07768478119,0.0,Sub-Saharan Africa,1231.00696968,96.8,3.2,99.83,1.7,2.12,0.03,Universal,Universal,Universal,0.09,False,99.86648182,-0.0
Mayotte,2015,240.0110016,46.98900223,96.83781128,0.0,0.2820184669,2.880170256,,,,,,,,,Sub-Saharan Africa,193.02199937,80.42,19.58,,7.59,,,High,Unknown,Unknown,,False,,
Mayotte,2020,272.8129883,45.75099945,96.37117971,0.0,3.628820295,,,,,,,,,,Sub-Saharan Africa,227.06198885,83.23,16.77,,9.9,,,High,Unknown,Unknown,,False,96.83781128,-0.47
Mozambique,2015,27042.00195,34.40000153,51.17617521,10.3714084,26.51349315,11.93892324,35.97137876,12.36707992,34.81487395,16.84666736,80.17136583,6.565709571,10.68295442,2.579970181,Sub-Saharan Africa,27007.60194847,99.87,0.13,36.03,13202.94,17292.6,6.82,Medium,Low,Medium-High,44.2,True,,
Mozambique,2020,31255.43555,37.0739975,63.36942563,9.975784507,16.72614511,9.928644759,48.8666865,12.64088359,23.6862564,14.80617352,87.98504792,5.452291027,4.912684644,1.649976404,Sub-Saharan Africa,31218.3615525,99.88,0.12,48.91,11449.05,15962.98,4.45,Medium,Low,Medium-High,39.12,True,51.17617521,12.19
