name,year,pop_n,pop_u,wat_bas_n,wat_lim_n,wat_unimp_n,wat_sur_n,wat_bas_r,wat_lim_r,wat_unimp_r,wat_sur_r,wat_bas_u,wat_lim_u,wat_unimp_u,wat_sur_u,region,pop_r,pop_r_pct,pop_u_pct,wat_bas_n_calc,pop_without_basic_water,pop_r_without_basic_water,pop_u_without_basic_water,access_category_national,access_category_rural,access_category_urban,rural_urban_gap,has_significant_gap,wat_bas_n_prev_year,yoy_improvement
Bermuda,2020,62.27299881,100.0,99.90314002,0.0,0.09685998294,0.0,,,,,99.90314002,0.0,0.09685998294,0.0,North America,-37.72700119,-60.58,160.58,,0.06,,0.1,Universal,Unknown,Universal,,False,99.90314002,0.0
Bhutan,2015,727.8850098,38.6780014,96.22142259,2.496596292,0.2961873751,0.9857937377,95.16436295,3.215858941,0.1935987005,1.426179411,97.89733678,1.356242032,0.4588364885,0.2875847035,South Asia,689.2070084000001,94.69,5.31,95.31,27.5,33.33,0.81,High,High,High,2.73,False,,
Bhutan,2020,771.6119995,42.31599808,97.31322263,2.460712607,0.1764242183,0.04964054142,96.73119365,3.268806351,0.0,0.0,98.10662849,1.3591415,0.4169208475,0.1173091586,South Asia,729.29600142,94.52,5.48,96.81,20.73,23.84,0.8,High,High,High,1.38,False,96.22142259,1.09
Bolivia (Plurinational State of),2015,10869.73242,68.39299774,90.46214101,0.1728983981,2.832457169,6.532503425,73.7401802,0.3399687838,5.911800536,20.00805048,98.18999708,0.0956888341,1.40937247,0.304941615,Latin America & Caribbean,10801.33942226,99.37,0.63,73.89,1036.74,2836.41,1.24,High,Medium,High,24.45,True,,
Bolivia (Plurinational State of),2020,11673.0293,70.1230011,93.39007163,0.1365905296,1.575010843,4.898326997,79.93664283,0.2447364082,3.954133693,15.86448707,99.12211832,0.09051328947,0.5613453808,0.2260230112,Latin America & Caribbean,11602.9062989,99.4,0.6,80.05,771.58,2327.93,0.62,High,Medium-High,Universal,19.19,True,90.46214101,2.93
Bosnia and Herzegovina,2015,3429.362061,47.17299652,96.15984418,3.780069975,0.06008584857,0.0,97.33333333,2.666666667,0.0,0.0,94.8457044,5.026922206,0.1273733928,0.0,Europe & Central Asia,3382.1890644799996,98.62,1.38,97.3,131.69,90.19,2.43,High,High,High,-2.49,False,,
Bosnia and Herzegovina,2020,3280.814941,49.02000046,96.11389762,3.823663938,0.06243843752,0.0,97.33333333,2.666666667,0.0,0.0,94.8457044,5.026922206,0.1273733928,0.0,Europe & Central Asia,3231.79494054,98.51,1.49,97.3,127.5,86.18,2.53,High,High,High,-2.49,False,96.15984418,-0.05
Botswana,2015,2120.716064,67.15499878,88.44628953,8.41061416,1.578349601,1.564746708,71.89253383,21.78932755,1.854197906,4.463940709,96.54260258,1.867186166,1.443438497,0.1467727616,Sub-Saharan Africa,2053.5610652200003,96.83,3.17,72.67,245.02,577.2,2.32,Medium-High,Medium,High,24.65,True,,
Botswana,2020,2351.625,70.8769989,92.21356307,4.72303897,1.732526476,1.330871481,79.04372386,15.15494718,1.596119156,4.20520981,97.62498058,0.4366200322,1.788579159,0.1498202281,Sub-Saharan Africa,2280.7480011,96.99,3.01,79.6,183.11,477.96,1.68,High,Medium-High,High,18.58,True,88.44628953,3.77
Brazil,2015,204471.7656,85.77000427,97.80356759,0.5795000229,0.4749657091,1.141966676,88.75602818,2.853773578,0.3651342381,8.025064008,99.30463102,0.2021779344,0.4931910454,0.0,Latin America & Caribbean,204385.99559573003,99.96,0.04,88.76,4491.08,22981.1,0.6,High,Medium-High,Universal,10.55,True,,
Brazil,2020,212559.4063,87.07299805,99.32085299,0.1265490039,0.5525980099,,95.94525953,0.9789509154,3.075789551,,99.82200131,0.0,0.1779986949,0.0,Latin America & Caribbean,212472.33330195,99.96,0.04,95.95,1443.59,8615.2,0.15,Universal,High,Universal,3.88,False,97.80356759,1.52
British Virgin Islands,2015,29.14800072,46.58300018,99.86438356,0.0,0.1356164384,0.0,,,,,,,,,Latin America & Caribbean,-17.43499946,-59.82,159.82,,0.04,,,Universal,Unknown,Unknown,,False,,
British Virgin Islands,2020,30.23699951,48.51499939,99.86438356,0.0,0.1356164384,0.0,,,,,,,,,Latin America & Caribbean,-18.27799988,-60.45,160.45,,0.04,,,Universal,Unknown,Unknown,,False,99.86438356,0.0
Brunei Darussalam,2015,414.9140015,76.66299438,99.50997616,0.0,0.3966758338,0.09334800295,99.05,0.0,0.55,0.4,99.65,0.0,0.35,0.0,East Asia & Pacific,338.25100712,81.52,18.48,99.16,2.03,3.21,0.27,Universal,Universal,Universal,0.6,False,,
Brunei Darussalam,2020,437.4830017,78.25000763,99.9000368,0.0,0.09996320036,0.0,,,,,99.65,0.0,0.35,0.0,East Asia & Pacific,359.23299407,82.11,17.89,,0.44,,0.27,Universal,Unknown,Universal,,False,99.50997616,0.39
Bulgaria,2015,7199.73877,73.98999786,99.19632731,0.0,0.8036726905,0.0,98.01614034,0.0,1.98385966,0.0,99.61120772,0.0,0.3887922761,0.0,Europe & Central Asia,7125.74877214,98.97,1.03,98.03,57.86,141.36,0.29,Universal,High,Universal,1.6,False,,
Bulgaria,2020,6948.444824,75.68599701,99.01141694,0.0,0.9885830607,0.0,97.40128797,0.0,2.598712031,0.0,99.5286704,0.0,0.4713296007,0.0,Europe & Central Asia,6872.75882699,98.91,1.09,97.42,68.69,178.6,0.36,Universal,High,Universal,2.13,False,99.19632731,-0.18
Burkina Faso,2015,18110.61523,27.53000069,50.13713109,25.67354095,22.43017891,1.759149043,38.8551637,30.20218489,28.6486943,2.293957106,79.83579216,13.75233459,6.060553432,0.3513198178,Sub-Saharan Africa,18083.08522931,99.85,0.15,38.92,9030.47,11056.87,5.55,Medium,Low,Medium-High,40.98,True,,
Burkina Faso,2020,20903.27734,30.60700035,47.21485446,31.2730034,21.15863263,0.3535095024,32.7182589,38.62690254,28.3404457,0.3143928626,80.08191854,14.60004919,4.875836487,0.4421957805,Sub-Saharan Africa,20872.67033965,99.85,0.15,32.79,11033.83,14043.5,6.1,Low,Low,Medium-High,47.36,True,50.13713109,-2.92
Burundi,2015,10160.03418,12.07800007,59.58146925,19.53889184,14.86499258,6.01464634,55.55826691,21.16679557,16.59414457,6.680792951,88.86843759,7.688539534,2.277601866,1.165421012,Sub-Saharan Africa,10147.95617993,99.88,0.12,55.6,4106.54,4509.93,1.34,Medium,Medium,Medium-High,33.31,True,,
Burundi,2020,11890.78125,13.70800018,62.20712225,19.43969314,14.75825969,3.594924913,57.68576527,21.25148213,16.89675238,4.166000219,90.66911086,8.034462869,1.296426269,0.0,Sub-Saharan Africa,11877.07324982,99.88,0.12,57.72,4493.87,5025.69,1.28,Medium,Medium,High,32.98,True,59.58146925,2.63
Cabo Verde,2015,524.7399902,64.29999542,85.44334237,10.25307762,4.151948319,0.1516316911,72.83231411,16.37979458,10.43676077,0.3511305397,92.44511451,6.851463911,0.6625536281,0.0408679538,Sub-Saharan Africa,460.43999477999995,87.75,12.25,75.24,76.38,125.09,4.86,Medium-High,Medium,High,19.61,True,,
Cabo Verde,2020,555.9879761,66.65200043,88.76960642,7.904150846,3.209147716,0.1170950144,80.11452544,9.911127022,9.623217003,0.3511305397,93.1,6.9,0.0,0.0,Sub-Saharan Africa,489.33597567,88.01,11.99,81.67,62.44,97.31,4.6,Medium-High,Medium-High,High,12.99,True,85.44334237,3.33
Cambodia,2015,15521.43457,22.18799973,68.44384896,8.603248193,9.602994817,13.34990803,62.71111668,9.432045638,11.75089596,16.10594172,88.54819144,5.696703472,2.070445687,3.6846594,East Asia & Pacific,15499.24657027,99.86,0.14,62.75,4897.97,5779.5,2.54,Medium,Medium,Medium-High,25.84,True,,
Cambodia,2020,16718.9707,24.23200035,71.21988497,13.90222204,5.677218558,9.200674434,65.06715583,15.51772278,7.492899307,11.92222209,90.45807717,8.85091472,0.0,0.6910081144,East Asia & Pacific,16694.738699650003,99.86,0.14,65.1,4811.74,5831.95,2.31,Medium,Medium,High,25.39,True,68.44384896,2.78
Cameroon,2015,23298.37695,54.57799911,63.97399012,11.23827056,17.65135833,7.136380984,42.00566921,11.07338641,32.39404459,14.52689979,82.25690791,11.37549377,5.381903513,0.9856948028,Sub-Saharan Africa,23243.798950890003,99.77,0.23,42.1,8393.48,13480.09,9.68,Medium,Low,Medium-High,40.25,True,,
Cameroon,2020,26545.86328,57.56000519,65.72041818,12.87474863,15.00100626,6.403826927,43.52758112,12.67259943,30.12380645,13.676013,82.08358486,13.02379677,3.850701351,1.041917019,Sub-Saharan Africa,26488.30327481,99.78,0.22,43.61,9099.81,14958.59,10.31,Medium,Low,Medium-High,38.56,True,63.97399012,1.75
Canada,2015,36026.66797,81.25900269,99.22922139,0.0,0.7707786091,0.0,98.81619508,0.0,1.183804922,0.0,99.32447885,0.0,0.6755211473,0.0,North America,35945.40896731,99.77,0.23,98.82,277.69,425.52,0.55,Universal,High,Universal,0.51,False,,
Canada,2020,37742.15625,81.56200409,99.22181066,0.0,0.7781893369,0.0,99.0604959,0.0,0.9395041006,0.0,99.25827766,0.0,0.7417223371,0.0,North America,37660.59424591,99.78,0.22,99.06,293.71,353.82,0.6,Universal,Universal,Universal,0.2,False,99.22922139,-0.01
Cayman Islands,2015,61.72100067,100.0,96.125,0.0,3.875,0.0,,,,,96.125,0.0,3.875,0.0,Latin America & Caribbean,-38.27899933,-62.02,162.02,,2.39,,3.88,High,Unknown,High,,False,,
Cayman Islands,2016,62.56399918,100.0,96.125,0.0,3.875,0.0,,,,,96.125,0.0,3.875,0.0,Latin America & Caribbean,-37.43600082,-59.84,159.84,,2.42,,3.88,High,Unknown,High,,False,96.125,0.0
Central African Republic,2015,4493.170898,40.27700043,42.31134542,21.34399718,32.01017408,4.334483318,31.89140779,17.35785358,43.70260925,7.048129392,57.76209901,27.25467806,14.67255123,0.310671709,Sub-Saharan Africa,4452.89389757,99.1,0.9,32.12,2592.05,3032.8,17.01,Low,Low,Medium,25.87,True,,
Central African Republic,2020,4829.76416,42.19799805,37.20240205,25.68237348,33.53911377,3.576110708,28.10659415,19.4058899,46.37307301,6.114442944,49.66166495,34.27978009,15.95940214,0.09915281712,Sub-Saharan Africa,4787.56616195,99.13,0.87,28.29,3032.98,3441.94,21.24,Low,Low,Low,21.56,True,42.31134542,-5.11
Chad,2015,14110.9707,22.5150013,44.39909697,13.51638311,34.70273994,7.381779982,35.57890074,13.87641398,41.26615647,9.278528806,74.75365178,12.27734182,12.11485643,0.8541499715,Sub-Saharan Africa,14088.4556987,99.84,0.16,35.64,7845.83,9075.94,5.68,Low,Low,Medium,39.17,True,,
Chad,2020,16425.85938,23.52000046,46.18753479,14.74028929,31.56245714,7.509718784,37.57521525,14.35396111,38.52496761,9.545856027,74.19222309,15.99651381,8.922452721,0.8888103843,Sub-Saharan Africa,16402.33937954,99.86,0.14,37.63,8839.16,10239.13,6.07,Low,Low,Medium,36.62,True,44.39909697,1.79
Channel Islands,2015,165.3869934,30.96199799,94.15,0.0,5.85,0.0,,,,,,,,,Europe & Central Asia,134.42499541,81.28,18.72,,9.68,,,High,Unknown,Unknown,,False,,
Channel Islands,2017,168.6660004,30.91399956,94.15,0.0,5.85,0.0,,,,,,,,,Europe & Central Asia,137.75200084,81.67,18.33,,9.87,,,High,Unknown,Unknown,,False,94.15,0.0
