name,year,pop_n,pop_u,wat_bas_n,wat_lim_n,wat_unimp_n,wat_sur_n,wat_bas_r,wat_lim_r,wat_unimp_r,wat_sur_r,wat_bas_u,wat_lim_u,wat_unimp_u,wat_sur_u,region,pop_r,pop_r_pct,pop_u_pct,wat_bas_n_calc,pop_without_basic_water,pop_r_without_basic_water,pop_u_without_basic_water,access_category_national,access_category_rural,access_category_urban,rural_urban_gap,has_significant_gap,wat_bas_n_prev_year,yoy_improvement
Czech Republic,2020,10708.98242,74.06100464,99.88059167,0.0,0.1194083325,0.0,99.8175993,0.0,0.1824006965,0.0,99.90265093,0.0,0.0973490679,0.0,Europe & Central Asia,10634.92141536,99.31,0.69,99.82,12.79,19.4,0.07,Universal,Universal,Universal,0.09,False,99.88009269,0.0
Côte d'Ivoire,2020,26378.27539,51.70599747,70.90907039,8.935421702,14.19244161,5.963066293,55.72244686,13.34316829,23.17527956,7.759105289,85.09355329,4.818535156,5.80236656,4.285544994,Sub-Saharan Africa,26326.56939253,99.8,0.2,55.78,7673.69,11656.76,7.71,Medium,Medium,Medium-High,29.37,True,71.0757669,-0.17
Democratic People's Republic of Korea,2020,25778.81445,62.38100052,93.84384303,0.6831311872,5.20969278,0.2633330058,88.75362488,0.3564402606,10.18993486,0.7,96.91351044,0.8801428799,2.206346677,0.0,East Asia & Pacific,25716.433449480002,99.76,0.24,88.77,1586.98,2892.17,1.93,High,Medium-High,High,8.16,False,95.21488171,-1.37
Democratic Republic of the Congo,2020,89561.40625,45.63800049,45.95212696,13.44122447,32.54231607,8.064332495,21.98279234,12.68294146,51.21598167,14.11828453,74.50335478,14.34445818,10.29905862,0.8531284131,Sub-Saharan Africa,89515.76824951,99.95,0.05,22.01,48406.04,69837.7,11.64,Low,Low,Medium,52.52,True,42.71817997,3.23
Denmark,2020,5792.203125,88.11600494,100.0000011,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,Europe & Central Asia,5704.08712006,98.48,1.52,100.0,-0.0,0.0,0.0,Universal,Universal,Universal,0.0,False,99.99999785,0.0
Djibouti,2020,988.0020142,78.06199646,76.04992021,14.7574817,7.015876051,2.176722038,47.28073293,12.06161014,30.73550468,9.922152249,84.13501493,15.51511107,0.3498740029,0.0,Sub-Saharan Africa,909.9400177399999,92.1,7.9,50.19,236.63,479.71,12.38,Medium-High,Low,Medium-High,36.85,True,75.78704503,0.26
Dominican Republic,2020,10847.9043,82.54000092,96.68681192,0.4670386504,1.269428783,1.576720644,90.30446437,1.385315508,1.115118127,7.195101991,98.03689158,0.2727920359,1.302073396,0.3882429922,Latin America & Caribbean,10765.36429908,99.24,0.76,90.36,359.41,1043.76,1.62,High,High,High,7.73,False,96.0993385,0.59
Ecuador,2020,17643.06055,64.16600037,95.35976356,0.003451463449,2.604485389,2.032299589,87.05074495,0.009631811022,7.26819549,5.671427747,100.0,0.0,0.0,0.0,Latin America & Caribbean,17578.894549629997,99.64,0.36,87.1,818.68,2276.34,0.0,High,Medium-High,Universal,12.95,True,93.0637795,2.3
Egypt,2020,102334.4063,42.78300095,99.44017596,0.2376091086,0.3222149265,0.0,99.33283515,0.3359418224,0.3312230319,0.0,99.5837311,0.1061012067,0.3101676943,0.0,Middle East & North Africa,102291.62329905,99.96,0.04,99.33,572.89,682.45,0.18,Universal,Universal,Universal,0.25,False,99.10671754,0.33
El Salvador,2020,6486.201172,73.44400024,97.94657541,0.2072632319,0.3151739969,1.530987366,93.45439508,0.7804762049,0.0,5.765128712,99.57087001,0.0,0.4291299944,0.0,Latin America & Caribbean,6412.75717176,98.87,1.13,93.52,133.19,419.75,0.32,High,High,Universal,6.12,False,95.56213774,2.38
Estonia,2020,1326.53894,69.22900391,99.59078178,0.0,0.4092182232,0.0,,,,,99.98545421,0.0,0.01454579307,0.0,Europe & Central Asia,1257.3099360899998,94.78,5.22,,5.43,,0.01,Universal,Unknown,Universal,,False,99.75130757,-0.16
Eswatini,2020,1160.16394,24.17100143,70.75307095,9.507067163,9.835567931,9.904293959,62.46644874,12.29969513,12.45046093,12.78339519,96.74976305,0.7460644731,1.632164244,0.8720082294,Sub-Saharan Africa,1135.99293857,97.92,2.08,63.18,339.31,426.38,0.79,Medium,Medium,High,34.28,True,66.70395522,4.05
Ethiopia,2020,114963.5859,21.69499969,49.61557274,26.74071964,18.63506013,5.008647486,40.03013919,30.18668334,23.49561327,6.287564203,84.21282816,14.30300858,1.091582355,0.392580896,Sub-Saharan Africa,114941.89090031001,99.98,0.02,40.04,57923.74,68930.49,3.43,Low,Low,Medium-High,44.18,True,42.0700672,7.55
Faeroe Islands,2020,48.86500168,42.39799881,100.0,0.0,0.0,0.0,,,,,,,,,Europe & Central Asia,6.467002870000002,13.23,86.77,,0.0,,,Universal,Unknown,Unknown,,False,100.0,0.0
Falkland Islands (Malvinas),2020,3.48300004,78.50799561,95.3089274,0.0,4.691072596,0.0,78.17294282,0.0,21.82705718,0.0,100.0,0.0,0.0,0.0,Latin America & Caribbean,-75.02499557,-2154.03,2254.03,570.16,0.16,-16.38,0.0,High,Medium-High,Universal,21.83,True,94.82000666,0.49
Fiji,2020,896.4439697,57.24700546,94.30106524,0.0,3.318602766,2.380331999,89.08802405,0.0,5.759897938,5.152078012,98.19424406,0.0,1.495409344,0.3103465922,East Asia & Pacific,839.19696424,93.61,6.39,89.67,51.09,91.57,1.03,High,Medium-High,High,9.11,False,94.26255867,0.04
Finland,2020,5540.717773,85.51700592,100.0000033,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,Europe & Central Asia,5455.20076708,98.46,1.54,100.0,-0.0,0.0,0.0,Universal,Universal,Universal,0.0,False,99.99999666,0.0
France,2020,65273.51172,80.97499847,99.9999985,0.0,1.49610841e-06,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,Europe & Central Asia,65192.53672153,99.88,0.12,100.0,0.0,0.0,0.0,Universal,Universal,Universal,0.0,False,100.0,-0.0
French Guiana,2020,298.6820068,85.81999969,93.78221635,0.0,6.217783652,0.0,,,,,,,,,Latin America & Caribbean,212.86200711,71.27,28.73,,18.57,,,High,Unknown,Unknown,,False,93.56205657,0.22
French Polynesia,2020,280.9039917,61.97500229,100.0,0.0,0.0,0.0,,,,,,,,,East Asia & Pacific,218.92898941,77.94,22.06,,0.0,,,Universal,Unknown,Unknown,,False,100.0,0.0
Gabon,2020,2225.728027,90.09200287,85.3419306,7.735263103,6.922808357,,44.74588901,10.51114859,44.7429624,,89.80653917,7.42998076,2.763480072,,Sub-Saharan Africa,2135.63602413,95.95,4.05,46.57,326.25,1180.03,9.18,Medium-High,Low,Medium-High,45.06,True,83.85848655,1.48
Gambia,2020,2416.664063,62.58199692,80.94040714,8.597391391,10.35285207,0.1093493927,69.18852321,16.49783239,14.24376547,0.0698789368,87.96690427,3.873689522,8.026457278,0.1329489253,Sub-Saharan Africa,2354.08206608,97.41,2.59,69.67,460.61,725.33,7.53,Medium-High,Medium,Medium-High,18.78,True,79.2101665,1.73
Georgia,2020,3989.175049,59.4529953,97.3481397,0.0,2.632761379,0.01909892327,94.2718842,0.0,5.703923618,0.02419218345,99.44615394,0.0,0.538220742,0.01562531586,Europe & Central Asia,3929.7220537,98.51,1.49,94.35,105.79,225.1,0.33,High,High,Universal,5.17,False,95.75472951,1.59
Germany,2020,83783.94531,77.45300293,100.0000023,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,Europe & Central Asia,83706.49230707,99.91,0.09,100.0,-0.0,0.0,0.0,Universal,Universal,Universal,0.0,False,100.0000024,-0.0
Ghana,2020,31072.94531,57.34899902,85.79099665,6.586062113,2.812216176,4.810725058,71.89275005,11.93454827,4.999356483,11.17334519,96.12725952,2.608342455,1.185613803,0.07878421819,Sub-Saharan Africa,31015.59631098,99.82,0.18,71.94,4415.16,8717.63,2.22,Medium-High,Medium,High,24.23,True,80.15796123,5.63
Gibraltar,2020,33.69100189,100.0,100.0,0.0,0.0,0.0,,,,,100.0,0.0,0.0,0.0,Europe & Central Asia,-66.30899811,-196.82,296.82,,0.0,,0.0,Universal,Unknown,Universal,,False,100.0,0.0
Greece,2020,10423.05566,79.71500397,100.0000023,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,Europe & Central Asia,10343.340656029999,99.24,0.76,100.0,-0.0,0.0,0.0,Universal,Universal,Universal,0.0,False,100.0000046,-0.0
Greenland,2020,56.77199936,87.28200531,100.0000017,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,North America,-30.51000595,-53.74,153.74,100.0,-0.0,-0.0,0.0,Universal,Universal,Universal,0.0,False,100.0,0.0
Guadeloupe,2020,400.1270142,98.49899292,99.80312604,0.0,0.1968739613,0.0,,,,,,,,,Latin America & Caribbean,301.62802128,75.38,24.62,,0.79,,,Universal,Unknown,Unknown,,False,99.61102813,0.19
Guam,2020,168.7830048,94.93800354,99.6952,0.0,0.3048,0.0,,,,,,,,,East Asia & Pacific,73.84500125999999,43.75,56.25,,0.51,,,Universal,Unknown,Unknown,,False,99.6952,0.0
Guatemala,2020,17915.56641,51.83599854,94.00642827,1.034150511,3.215911815,1.743509404,90.1193298,1.849169999,4.583438691,3.448061508,97.61816944,0.2768660057,1.94525887,0.1597056849,Latin America & Caribbean,17863.73041146,99.71,0.29,90.14,1073.78,1765.06,1.23,High,High,High,7.5,False,92.13403385,1.87
Guinea,2020,13132.79199,36.875,63.96178874,21.2815915,6.296119406,8.460500354,50.74817899,26.14432944,9.704719143,13.40277243,86.58169007,12.95724153,0.461068398,0.0,Sub-Saharan Africa,13095.91699,99.72,0.28,50.85,4732.82,6449.98,4.95,Medium,Medium,Medium-High,35.83,True,63.61538954,0.35
Guinea-Bissau,2020,1967.998047,44.19599915,59.01691221,14.03457137,26.6263769,0.3221395192,49.8319053,9.285773026,40.31645129,0.5658703845,70.61434791,20.03063358,9.340625284,0.01439322693,Sub-Saharan Africa,1923.80204785,97.75,2.25,50.3,806.55,965.13,12.99,Medium,Low,Medium,20.78,True,58.76434762,0.25
Guyana,2020,786.559021,26.7859993,95.55480685,1.205244408,1.143069849,2.096878897,93.9284905,1.646193862,1.561274833,2.864040809,100.0,0.0,0.0,0.0,Latin America & Caribbean,759.7730217000001,96.59,3.41,94.14,34.96,46.13,0.0,High,High,Universal,6.07,False,95.16185695,0.39
Haiti,2020,11402.5332,57.08799744,66.6953084,9.814543652,23.49014795,0.0,42.8457001,13.25598695,43.89831295,0.0,84.62262129,7.227673879,8.149704835,0.0,Sub-Saharan Africa,11345.44520256,99.5,0.5,43.05,3797.58,6484.41,8.78,Medium,Low,Medium-High,41.78,True,64.56748594,2.13
Honduras,2020,9904.608398,58.35899734,95.68922113,0.4256206085,3.885158264,0.0,89.87579955,0.8067095079,9.317490946,0.0,99.83728281,0.1537015262,0.009015663296,0.0,Latin America & Caribbean,9846.24940066,99.41,0.59,89.93,426.97,996.85,0.09,High,Medium-High,Universal,9.96,False,93.25441071,2.43
Hungary,2020,9660.349609,71.94200134,99.99999747,0.0,2.527244192e-06,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,Europe & Central Asia,9588.407607660001,99.26,0.74,100.0,0.0,0.0,0.0,Universal,Universal,Universal,0.0,False,99.97052896,0.03
Iceland,2020,341.25,93.897995,99.99999721,0.0,2.794650015e-06,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,Europe & Central Asia,247.35200500000002,72.48,27.52,100.0,0.0,0.0,0.0,Universal,Universal,Universal,0.0,False,100.0000023,-0.0
India,2020,1380004.375,34.9260025,90.48952503,4.983602562,3.963153945,0.5637184626,88.78250313,5.902210054,4.57637573,0.7389110856,93.6700363,3.272056027,2.820607523,0.2373001538,South Asia,1379969.4489975,100.0,0.0,88.78,131244.97,154798.03,2.21,High,Medium-High,High,4.89,False,88.13813263,2.35
Indonesia,2020,273523.625,56.64099884,92.41534961,0.8554746335,5.553871666,1.175304087,85.66796238,1.17809123,10.61491462,2.539031772,97.58051207,0.6085098345,1.679615139,0.1313629588,East Asia & Pacific,273466.98400116,99.98,0.02,85.67,20745.81,39193.39,1.37,High,Medium-High,High,11.91,True,88.52735296,3.89
Iran (Islamic Republic of),2020,83992.95313,75.87400055,97.48263633,1.938311229,0.5137973631,0.06525508185,93.82873538,4.297948765,1.602839669,0.2704761905,98.64448672,1.188006671,0.1675066077,0.0,South Asia,83917.07912945,99.91,0.09,93.83,2114.41,5178.75,1.03,High,High,High,4.82,False,96.80698708,0.68
Iraq,2020,40222.50391,70.89299774,98.35990325,0.8921603495,2.427900808e-06,0.7479339713,94.83114678,2.599251339,0.0,2.569601877,99.80873103,0.19126897,0.0,0.0,Middle East & North Africa,40151.61091226,99.82,0.18,94.84,659.69,2075.38,0.14,High,High,Universal,4.98,False,94.2475933,4.11
